name,genre,director,country,year,imdb_url
2:22,Триллер,рус.,Соединённые Штаты Америки,2017,https://www.imdb.com/title/tt1131724/
4 дня в мае,Военный фильм,Ахим фон Боррис,Германия,2011,https://www.imdb.com/title/tt1699202/
2 Girls 1 Cup,Порнофильм,[d],Бразилия,,https://www.imdb.com/title/tt1765847/
4 американских композитора,Документальный фильм,Питер Гринуэй,Великобритания,1983,https://www.imdb.com/title/tt0085562/
1+1: Голливудская история,Комедийная драма,Нил Бёргер,Соединённые Штаты Америки,,https://www.imdb.com/title/tt1987680/
3: История Дейла Эрнхардта,Фильм-биография,Рассел Малкэхи,Соединённые Штаты Америки,,https://www.imdb.com/title/tt0401088/
3 ночи в пустыне,Драма (жанр),Гэбриэль Коуэн,Соединённые Штаты Америки,2014,https://www.imdb.com/title/tt2123884/
01-99,,Амасий Мартиросян,Союз Советских Социалистических Республик,1959,https://www.imdb.com/title/tt0360321/
1+1,Комедийная драма,Оливье Накаш,Франция,,https://www.imdb.com/title/tt1675434/
2 секунды,Комедия,Манон Брайан,Кинематограф Канады,1998,https://www.imdb.com/title/tt0158446/
2:37,Драматический фильм,[d],Австралия,,https://www.imdb.com/title/tt0472582/
1%,Криминальный фильм,Стив МакКаллум,Австралия,2017,https://www.imdb.com/title/tt6301712/
2 дурня в снегу,Комедия,Жан-Луи Гийерму,Франция,1977,https://www.imdb.com/title/tt0417603/
1,Документальный фильм,Пол Краудер,Соединённые Штаты Америки,2013,https://www.imdb.com/title/tt2518788/
(Не)идеальные роботы,Комедия,Энтони Хайнс,Соединённые Штаты Америки,2023,https://www.imdb.com/title/tt12579470/
«SOS» над тайгой,Драматический фильм,Аркадий Кольцатый,Кинематограф СССР,,https://www.imdb.com/title/tt0191415/
Чудотворец из Бирюлёва,Игровое кино,Борис Эпштейн,Союз Советских Социалистических Республик,1958,
2-Асса-2,Драма (жанр),Сергей Соловьёв,Россия,2008,https://www.imdb.com/title/tt2719860/
2 дня в Париже,Комедия,Жюли Дельпи,Франция,2007,https://www.imdb.com/title/tt0841044/
1 Night in China,Порнофильм,Шон Уолтман,Соединённые Штаты Америки,,https://www.imdb.com/title/tt0439985/
1 миля до тебя,Драма (жанр),Лейф Тильден,Соединённые Штаты Америки,2017,https://www.imdb.com/title/tt2184233/
0-41*,Документальный фильм,Сенна Хегде,Индия,2016,https://www.imdb.com/title/tt4570696/
…и передайте привет ласточкам,,Яромил Йиреш,Чехословакия,1972,https://www.imdb.com/title/tt0122844/
