name,genre,director,country,year,imdb_url,imdb_rating
7 главных желаний,комедия;мелодрама,Вадим Соколовский,Россия,2013,https://www.imdb.com/title/tt3338352/,1.5
6-й день,киберпанк,Роджер Споттисвуд,США,2000,https://www.imdb.com/title/tt0216216/,5.9
7 дней до смерти,драма;фильм ужасов;триллер,Себастьян Ниман,США;Германия;Чехия,2000,https://www.imdb.com/title/tt0221928/,5.1
5-я волна,постапокалиптика;научная фантастика,Дж Блэйксон,США,2016,https://www.imdb.com/title/tt2304933/,5.2
007: Спектр,шпионский фильм,Сэм Мендес,Великобритания;США,2015,https://www.imdb.com/title/tt2379713/,6.8
6 дней,боевик;триллер,Тоа Фрейзер,Великобритания;Новая Зеландия,2017,https://www.imdb.com/title/tt4703048/,6.2
5 неизвестных...,триллер,Симон Бранд,США,2006,https://www.imdb.com/title/tt0450340/,6.4
5 разбитых камер,документальный фильм,Эмад Бурнат Гай Давиди,Израиль;ПНА;Франция;Нидерланды,2011,https://www.imdb.com/title/tt2125423/,7.9
5×2,мелодрама;драма,Франсуа Озон,Франция,2004,https://www.imdb.com/title/tt0354356/,6.6
5 терапия,драма;триллер;биография,Алиса Павловская,Украина,2017,https://www.imdb.com/title/tt7607276/,7.3
2:22,триллер,Пол Карри;(англ),США;Австралия,2017,https://www.imdb.com/title/tt1131724/,5.7
5 недель,трагикомедия,Александр Андреев,Россия,2021,https://www.imdb.com/title/tt15436686/,4.7
4.3.2.1,триллер,Ноэль Кларк,Великобритания,2010,https://www.imdb.com/title/tt1514041/,5.8
2-Асса-2,драма,Сергей Соловьёв,Россия,2008,https://www.imdb.com/title/tt2719860/,4.7
1+1: Голливудская история,комедийная драма,Нил Бёргер,США,2017,https://www.imdb.com/title/tt1987680/,7.0
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977,https://www.imdb.com/title/tt0417603/,3.8
2 дня в Париже,комедия;драма;мелодрама,Жюли Дельпи,Франция;Германия,2007,https://www.imdb.com/title/tt0841044/,6.7
2 секунды,комедия,Манон Брайан,Канада,1998,https://www.imdb.com/title/tt0158446/,6.5
2 Girls 1 Cup,порнофильм;ЛГБТ-фильм,Марко Фиорито,,2007,https://www.imdb.com/title/tt1765847/,4.2
5 дней в августе,военный;боевик,Ренни Харлин,США;Грузия,2011,https://www.imdb.com/title/tt1486193/,5.6
1 Night in China,порнофильм,Шон Уолтман;Чайна,,2004,https://www.imdb.com/title/tt0439985/,2.6
1+1,комедийная драма;бадди-муви,Оливье Накаш;Эрик Толедано,Франция,2011,https://www.imdb.com/title/tt1675434/,8.5
1 миля до тебя,драма;мелодрама,Лейф Тильден,США,2017,https://www.imdb.com/title/tt2184233/,6.3
01-99,комедия,Амасий Мартиросян,СССР,1959,https://www.imdb.com/title/tt0360321/,7.7
1%,криминальный,Стив МакКаллум,Австралия,2017,https://www.imdb.com/title/tt6301712/,5.3
(Не)идеальные роботы,комедия;фантастика;мелодрамма,Энтони Хайнс;Каспер Кристенсен,США,2023,https://www.imdb.com/title/tt12579470/,5.5
1,документальный,Пол Краудер,США,2013,https://www.imdb.com/title/tt2518788/,7.9
«SOS» над тайгой,драма;приключения,Аркадий Кольцатый;Валентин Перов,СССР,1976,https://www.imdb.com/title/tt0191415/,4.9
0-41*,документальный;драма;комедия,Сенна Хегде,Индия,2016,https://www.imdb.com/title/tt4570696/,8.9
…и передайте привет ласточкам,драма военный,Яромил Йиреш,Чехословакия,1972,https://www.imdb.com/title/tt0122844/,6.8
...а пятый всадник – Страх,драма военный арт-хаус,Збынек Брыных,Чехословакия,1965,https://www.imdb.com/title/tt0123368/,7.2
?,драматический фильм,Ханун Брамантйо,,2011,https://www.imdb.com/title/tt1979169/,7.0
9 песен,драма;мелодрама;музыкальный фильм;эротика,Майкл Уинтерботтом,Великобритания,2004,https://www.imdb.com/title/tt0411705/,4.7
10 лет спустя,драма;романтическая комедия,Джеми Линден,США,2011,https://www.imdb.com/title/tt1715873/,6.1
